content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"alhamdulillah, memuaskan, Rama dan mau membantu untuk menurunkan barang. terimakasih ya buat pengemudi nya🙏",5,Positif,alhamdulillah memuaskan rama dan mau membantu untuk menurunkan barang terimakasih ya buat pengemudi nya,alhamdulillah memuaskan rama membantu menurunkan barang terimakasih ya pengemudi nya,"['alhamdulillah', 'memuaskan', 'rama', 'membantu', 'menurunkan', 'barang', 'terimakasih', 'ya', 'pengemudi', 'nya']",alhamdulillah muas rama bantu turun barang terimakasih ya kemudi nya
Aplikasi nya di-update ehh harganya juga update wkwk kageett,4,Positif,aplikasi nya diupdate ehh harganya juga update wkwk kageett,aplikasi nya diupdate ehh harganya update wkwk kageett,"['aplikasi', 'nya', 'diupdate', 'ehh', 'harganya', 'update', 'wkwk', 'kageett']",aplikasi nya diupdate ehh harga update wkwk kageett
"tolong donk maps nya d perbaharui lagi, bnyak bgt titik yg tidak d temukan, nyari d apk lain ketemu loh titik nya cuma d maxim ga ketemu",4,Positif,tolong donk maps nya d perbaharui lagi bnyak bgt titik yg tidak d temukan nyari d apk lain ketemu loh titik nya cuma d maxim ga ketemu,tolong donk maps nya d perbaharui bnyak bgt titik yg d temukan nyari d apk ketemu loh titik nya d maxim ga ketemu,"['tolong', 'donk', 'maps', 'nya', 'd', 'perbaharui', 'bnyak', 'bgt', 'titik', 'yg', 'd', 'temukan', 'nyari', 'd', 'apk', 'ketemu', 'loh', 'titik', 'nya', 'd', 'maxim', 'ga', 'ketemu']",tolong donk maps nya d baharu bnyak bgt titik yg d temu nyari d apk ketemu loh titik nya d maxim ga ketemu
Driver nya kasar saya cancel karena salah ketik tujuan malah ngototalah maksa aneh tolong dong driver yg kaya gitu gausah jadiin driver kasar bgt baru kejadian Lo ini saya ada screenshot an nya kok,1,Negatif,driver nya kasar saya cancel karena salah ketik tujuan malah ngototalah maksa aneh tolong dong driver yg kaya gitu gausah jadiin driver kasar bgt baru kejadian lo ini saya ada screenshot an nya kok,driver nya kasar cancel salah ketik tujuan ngototalah maksa aneh tolong driver yg kaya gitu gausah jadiin driver kasar bgt kejadian lo screenshot an nya,"['driver', 'nya', 'kasar', 'cancel', 'salah', 'ketik', 'tujuan', 'ngototalah', 'maksa', 'aneh', 'tolong', 'driver', 'yg', 'kaya', 'gitu', 'gausah', 'jadiin', 'driver', 'kasar', 'bgt', 'kejadian', 'lo', 'screenshot', 'an', 'nya']",driver nya kasar cancel salah ketik tuju ngototalah maksa aneh tolong driver yg kaya gitu gausah jadiin driver kasar bgt jadi lo screenshot an nya
"Tolong dipercepat untuk pencarian drivernya, saya nunggu kadang sampe lama banget",1,Negatif,tolong dipercepat untuk pencarian drivernya saya nunggu kadang sampe lama banget,tolong dipercepat pencarian drivernya nunggu kadang sampe banget,"['tolong', 'dipercepat', 'pencarian', 'drivernya', 'nunggu', 'kadang', 'sampe', 'banget']",tolong cepat cari drivernya nunggu kadang sampe banget
pelayanan antar pesanan makanan nya cepat...makasih ya...,5,Positif,pelayanan antar pesanan makanan nya cepatmakasih ya,pelayanan pesanan makanan nya cepatmakasih ya,"['pelayanan', 'pesanan', 'makanan', 'nya', 'cepatmakasih', 'ya']",layan pesan makan nya cepatmakasih ya
"Tolong d tingkatkan lagi, titikny kurang akurat , masih banyak yg harus perlu d perbaiki",1,Negatif,tolong d tingkatkan lagi titikny kurang akurat  masih banyak yg harus perlu d perbaiki,tolong d tingkatkan titikny akurat yg d perbaiki,"['tolong', 'd', 'tingkatkan', 'titikny', 'akurat', 'yg', 'd', 'perbaiki']",tolong d tingkat titikny akurat yg d baik
tepat waktu dan selalu ati ati kendaraan ya,4,Positif,tepat waktu dan selalu ati ati kendaraan ya,ati ati kendaraan ya,"['ati', 'ati', 'kendaraan', 'ya']",ati ati kendara ya
"Bintang 4 dulu, baru pertama kali order, tepat waktu untuk Bulik, belum tahu pendapatannya karena saya tidak ikut serta. Semoga beliau nyaman naik Maxim car. Terima kasih, semoga kedepannya terus berinovasi lebih baik, pembayaran bisa ditautkan dompet digital.",4,Positif,bintang  dulu baru pertama kali order tepat waktu untuk bulik belum tahu pendapatannya karena saya tidak ikut serta semoga beliau nyaman naik maxim car terima kasih semoga kedepannya terus berinovasi lebih baik pembayaran bisa ditautkan dompet digital,bintang kali order bulik pendapatannya semoga beliau nyaman maxim car terima kasih semoga kedepannya berinovasi pembayaran ditautkan dompet digital,"['bintang', 'kali', 'order', 'bulik', 'pendapatannya', 'semoga', 'beliau', 'nyaman', 'maxim', 'car', 'terima', 'kasih', 'semoga', 'kedepannya', 'berinovasi', 'pembayaran', 'ditautkan', 'dompet', 'digital']",bintang kali order bulik dapat moga beliau nyaman maxim car terima kasih moga depan inovasi bayar taut dompet digital
"Alhamdulillah, mobil nya wangi nyaman selama perjalanan terimakasih",5,Positif,alhamdulillah mobil nya wangi nyaman selama perjalanan terimakasih,alhamdulillah mobil nya wangi nyaman perjalanan terimakasih,"['alhamdulillah', 'mobil', 'nya', 'wangi', 'nyaman', 'perjalanan', 'terimakasih']",alhamdulillah mobil nya wangi nyaman jalan terimakasih
