content,score,Label
"alhamdulillah, memuaskan, Rama dan mau membantu untuk menurunkan barang. terimakasih ya buat pengemudi nya🙏",5,Positif
"Tarifnya terjangkau, tapi sayang Mapnya kurang lengkap, Mapnya seperti peta buta. Jadi susah menentukan tujuan atau titik penjemputan. Apalagi kalau posisi hp tidak sama orang yang mau dijemput.",3,
Aplikasi nya di-update ehh harganya juga update wkwk kageett,4,Positif
lumayan murah.. coba tambah fitur seperti gojek. ada foto bukti kirim barang dll. agar lebih rill mantau nya. untuk harga cukup murah,3,
"tolong donk maps nya d perbaharui lagi, bnyak bgt titik yg tidak d temukan, nyari d apk lain ketemu loh titik nya cuma d maxim ga ketemu",4,Positif
Driver nya kasar saya cancel karena salah ketik tujuan malah ngototalah maksa aneh tolong dong driver yg kaya gitu gausah jadiin driver kasar bgt baru kejadian Lo ini saya ada screenshot an nya kok,1,Negatif
"Tolong dipercepat untuk pencarian drivernya, saya nunggu kadang sampe lama banget",1,Negatif
pelayanan antar pesanan makanan nya cepat...makasih ya...,5,Positif
"Tolong d tingkatkan lagi, titikny kurang akurat , masih banyak yg harus perlu d perbaiki",1,Negatif
tepat waktu dan selalu ati ati kendaraan ya,4,Positif
"Bintang 4 dulu, baru pertama kali order, tepat waktu untuk Bulik, belum tahu pendapatannya karena saya tidak ikut serta. Semoga beliau nyaman naik Maxim car. Terima kasih, semoga kedepannya terus berinovasi lebih baik, pembayaran bisa ditautkan dompet digital.",4,Positif
"Alhamdulillah, mobil nya wangi nyaman selama perjalanan terimakasih",5,Positif
"Udah order, nunggu motorcyle kelamaan gak datang. aplikasi tau² logout sendiri. Mau login malah gak bisa lagi, sudah melebihi batas panggilan. Sangat² mengecewakan",1,Negatif
"kecewa pake Maxim pas pesan harga aplikasi lebih murah dri platform lain tapi setelah naik jdi berbeda lebih mahal jalannya jga dilama2in biar tarifnya mahal,, jemputnya jga lama krna dikasih jarak jauh mapsnya masih berantakan gk sesuai dan bnyak titik alamat yg gk ada mohon lebih ditingkatkan kualitasnya karena harga gk beda jauh sama aplikasi sebelah",2,Negatif
Kenapa sy pesan maxim tidak bisa. Tolong di perbaiki kembali aplikasi abang,1,Negatif
"Aplikasi paling guoblokkkkk...masak sama maps aja gak nyambung,gak bisa tersambung dgn WA dan juga gak akurat untuk kata pencarian untuk tujuannya",1,Negatif
